issueNumber,number,color,premium,sum,big_small
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
20260714100020078,6,red,6,0,Big
20260714100020077,5,"green,violet",5,0,Big
20260714100020076,6,red,6,0,Big
20260714100020085,9,green,9,0,Big
20260714100020084,8,red,8,0,Big
20260714100020083,8,red,8,0,Big
20260714100020082,6,red,6,0,Big
20260714100020081,6,red,6,0,Big
20260714100020080,8,red,8,0,Big
20260714100020079,8,red,8,0,Big
